FindPhrase	FindPhraseID	FindPhraseStatus	FindPhraseNote	ReplacePhrase	AssignedRoleID	AssignedRole	AssignedRoleRank	JobTitleUsageCount	JobTitleSearchCount	FindPhraseScore
Auto Jobs	2148	assignedrole			3935	jobs-auto	1	NULL	NULL	70405
Auto Mechanic	2149	assignedrole		Automotive Mechanic	6688	mechanic-automotive	3	NULL	NULL	3285
Auto Mechanics	2150	assignedrole		Automotive Mechanic	6688	mechanic-automotive	4	NULL	NULL	49
Auto Painter	2151	assignedrole		Body Shop Technician	9693	technician-autobody	6	NULL	NULL	52
Auto Parts	2152	rolemodifier			NULL		10000	NULL	NULL	5952
Auto Parts Jobs	2153	assignedrole			3942	jobs-autopart	1	NULL	NULL	157
Auto Parts Manager	2154	assignedrole		Auto Parts Manager	5479	manager-autopart	1	NULL	NULL	8
Auto Parts Supervisor	2155	assignedrole		Auto Parts Manager	5479	manager-autopart	2	NULL	NULL	1
Auto Radiator	2156	rolemodifier			NULL		10000	NULL	NULL	22
Auto Rental	2157	rolemodifier			NULL		10000	NULL	NULL	73
Auto Rental Jobs	2158	assignedrole			3935	jobs-auto	3	NULL	NULL	3
Auto Service	2159	rolemodifier			NULL		10000	NULL	NULL	40534
Auto Service Manager	2161	assignedrole		Automotive Service Manager	5478	manager-automotiveservice	4	NULL	NULL	11
Auto Service Representative	2162	assignedrole		Auto Service Representative	8528	specialist-automotiveservice	1	NULL	NULL	6
Auto Service Supervisor	2163	assignedrole		Automotive Service Manager	5478	manager-automotiveservice	6	NULL	NULL	1
Auto Service Technician	2164	assignedrole		Automotive Technician	9696	technician-automotive	3	NULL	NULL	4313
Auto Tech	2165	assignedrole		Automotive Technician	9696	technician-automotive	2	NULL	NULL	15590
Auto Technician	2166	assignedrole		Automotive Technician	9696	technician-automotive	4	NULL	NULL	3281
Auto Tire	2167	rolemodifier			NULL		10000	NULL	NULL	60
Auto Transmission	2168	rolemodifier			NULL		10000	NULL	NULL	27
Autobody	2170	rolemodifier			NULL		10000	NULL	NULL	174
Autobody Jobs	2171	assignedrole			3936	jobs-autobody	3	NULL	NULL	38
Autobody Technician	2172	assignedrole		Body Shop Technician	9693	technician-autobody	11	NULL	NULL	5
AutoCAD	2173	rolemodifier			NULL		10000	NULL	NULL	17682
AutoCAD Designer	2174	assignedrole		CAD Designer	9703	technician-cad	8	NULL	NULL	10
AutoCAD Drafter	2175	assignedrole		CAD Designer	9703	technician-cad	6	NULL	NULL	50
AutoCAD Jobs	2176	assignedrole			3937	jobs-autocad	1	NULL	NULL	1929
AutoCAD Technician	2177	assignedrole		CAD Designer	9703	technician-cad	5	NULL	NULL	67
Autocutter	2178	assignedrole		Autocutter	625	autocutter	1	NULL	NULL	3
Autographer	2179	assignedrole		Autographer	626	autographer	1	NULL	NULL	32
Automated Logistics	2180	rolemodifier			NULL		10000	NULL	NULL	8
Automated Logistics Specialist	2182	assignedrole		Automated Logistics Specialist	8526	specialist-automatedlogistic	1	NULL	NULL	13
Automatic	2183	rolemodifier			NULL		10000	NULL	NULL	2682
Automatic Nailing Machine	2185	rolemodifier			NULL		10000	NULL	NULL	3
Automatic Pinsetter	2186	rolemodifier			NULL		10000	NULL	NULL	6
Automatic Spinning Lathe	2187	rolemodifier			NULL		10000	NULL	NULL	1
Automatic Teller Machine	2188	rolemodifier			NULL		10000	NULL	NULL	16
Automation	2189	rolemodifier			NULL		10000	NULL	NULL	19830
Automation Analyst	2190	assignedrole		Automation Specialist	8527	specialist-automation	6	NULL	NULL	69
Automation Application Engineer	2191	assignedrole		Automation Application Engineer	2819	engineer-automationsoftware	1	NULL	NULL	13
Automation Applications Engineer	2192	assignedrole		Automation Application Engineer	2819	engineer-automationsoftware	2	NULL	NULL	3
Automation Architect	2193	assignedrole		Automation Specialist	8527	specialist-automation	4	NULL	NULL	84
Automation Developer	2194	assignedrole		Automation Specialist	8527	specialist-automation	2	NULL	NULL	217
Automation Driver	2195	assignedrole		Automation Driver	2636	driver-automation	1	NULL	NULL	3
Automation Engineer	2196	assignedrole		Automation Engineer	2818	engineer-automation	1	NULL	NULL	13950
Automation Engineering	2197	rolemodifier			NULL		10000	NULL	NULL	257
Automation Engineering Manager	2198	assignedrole		Automation Engineering Manager	5476	manager-automationengineering	1	NULL	NULL	10
Automation Engineering Supervisor	2199	assignedrole		Automation Engineering Manager	5476	manager-automationengineering	2	NULL	NULL	2
Automation Engineering Technician	2200	assignedrole		Automation Technician	9695	technician-automation	3	NULL	NULL	3
Automation Jobs	2201	assignedrole			3939	jobs-automation	1	NULL	NULL	26059
Automation Lead	2202	assignedrole		Automation Specialist	8527	specialist-automation	5	NULL	NULL	80
Automation Manager	2203	assignedrole		Automation Manager	5475	manager-automation	1	NULL	NULL	121
Automation Specialist	2204	assignedrole		Automation Specialist	8527	specialist-automation	1	NULL	NULL	685
Automation Supervisor	2205	assignedrole		Automation Manager	5475	manager-automation	3	NULL	NULL	10
Automation Support	2206	rolemodifier			NULL		10000	NULL	NULL	27
Automation Support Jobs	2207	assignedrole			3939	jobs-automation	3	NULL	NULL	10
Automation Tech	2208	assignedrole		Automation Technician	9695	technician-automation	2	NULL	NULL	43
Automation Technician	2209	assignedrole		Automation Technician	9695	technician-automation	1	NULL	NULL	654
Automation Technologist	2210	assignedrole		Automation Specialist	8527	specialist-automation	7	NULL	NULL	3
Automation Tester	2211	assignedrole		Automation Specialist	8527	specialist-automation	3	NULL	NULL	154
Automobile	2212	rolemodifier			NULL		10000	NULL	NULL	2825
Automobile Accessories	2213	rolemodifier			NULL		10000	NULL	NULL	18
Automobile Accessories Jobs	2214	assignedrole			3940	jobs-automotive	4	NULL	NULL	1
Automobile Body	2215	rolemodifier			NULL		10000	NULL	NULL	3
Automobile Body Jobs	2216	assignedrole			3936	jobs-autobody	5	NULL	NULL	1
Automobile Claims	2217	rolemodifier			NULL		10000	NULL	NULL	7
Automobile Claims Representative	2219	assignedrole		Auto Claims Adjuster	8525	specialist-autoclaim	5	NULL	NULL	2
Automobile Damage	2220	rolemodifier			NULL		10000	NULL	NULL	3
Automobile Dealer	2222	assignedrole		Auto Dealer	1766	dealer-auto	3	NULL	NULL	6
Automobile Detailer	2223	assignedrole		Car Detailer	1859	detailer-auto	4	NULL	NULL	10
Automobile Jobs	2224	assignedrole			3940	jobs-automotive	3	NULL	NULL	150
Automobile Service	2226	rolemodifier			NULL		10000	NULL	NULL	11
Automobile Service Station	2228	rolemodifier			NULL		10000	NULL	NULL	5
Automobile Technician	2230	assignedrole		Automotive Technician	9696	technician-automotive	7	NULL	NULL	57
Automotive	2231	rolemodifier			NULL		10000	NULL	NULL	597712
Automotive Brake	2232	rolemodifier			NULL		10000	NULL	NULL	6
Automotive Designer	2233	assignedrole		Automotive Engineer	2820	engineer-automotive	2	NULL	NULL	15
Automotive Detailer	2234	assignedrole		Car Detailer	1859	detailer-auto	3	NULL	NULL	57
Automotive Engineer	2235	assignedrole		Automotive Engineer	2820	engineer-automotive	1	NULL	NULL	721
Automotive Engineering	2236	rolemodifier			NULL		10000	NULL	NULL	2250
Automotive Engineering Jobs	2237	assignedrole			3941	jobs-automotiveengineering	1	NULL	NULL	671
Automotive Glass	2238	rolemodifier			NULL		10000	NULL	NULL	110
Automotive Jobs	2240	assignedrole			3940	jobs-automotive	1	NULL	NULL	240737
Automotive Manager	2241	assignedrole		Manager Automotive	5477	manager-automotive	2	NULL	NULL	23
Automotive Mechanic	2242	assignedrole		Automotive Mechanic	6688	mechanic-automotive	2	NULL	NULL	4076
Automotive Repair	2243	rolemodifier			NULL		10000	NULL	NULL	960
Automotive Repair Technician	2245	assignedrole		Automotive Technician	9696	technician-automotive	8	NULL	NULL	11
Automotive Sales	2246	rolemodifier			NULL		10000	NULL	NULL	1128
Automotive Service	2247	rolemodifier			NULL		10000	NULL	NULL	11063
Automotive Service Advisor	2248	assignedrole		Automotive Service Advisor	103	advisor-automotiveservice	1	NULL	NULL	808
Automotive Service Assistant	2249	assignedrole		Automotive Service Assistant	352	assistant-automotiveservice	1	NULL	NULL	66
Automotive Service Director	2250	assignedrole		Automotive Service Director	1964	director-automotiveservice	1	NULL	NULL	9
Automotive Service Manager	2252	assignedrole		Automotive Service Manager	5478	manager-automotiveservice	1	NULL	NULL	2023
Automotive Service Supervisor	2253	assignedrole		Automotive Service Manager	5478	manager-automotiveservice	2	NULL	NULL	17
Automotive Service Technician	2254	assignedrole		Automotive Technician	9696	technician-automotive	6	NULL	NULL	953
Automotive Service Writer	2255	assignedrole		Automotive Service Advisor	103	advisor-automotiveservice	2	NULL	NULL	36
Automotive Services	2256	rolemodifier			NULL		10000	NULL	NULL	44
Automotive Services Manager	2258	assignedrole		Automotive Service Manager	5478	manager-automotiveservice	3	NULL	NULL	11
Automotive Services Supervisor	2259	assignedrole		Automotive Service Manager	5478	manager-automotiveservice	7	NULL	NULL	1
Automotive Supervisor	2260	assignedrole		Manager Automotive	5477	manager-automotive	6	NULL	NULL	3
Automotive Teacher	2261	assignedrole		Automotive Teacher	9431	teacher-automotive	1	NULL	NULL	5
Automotive Technician	2262	assignedrole		Automotive Technician	9696	technician-automotive	1	NULL	NULL	106860
Automotive Technology Instructor	2263	assignedrole		Automotive Technology Instructor	3596	instructor-automotiveinfotech	1	NULL	NULL	10
Automotive Tire	2264	rolemodifier			NULL		10000	NULL	NULL	11
Automotive Tire Jobs	2265	assignedrole			5066	jobs-tire	2	NULL	NULL	2
Autopsy	2266	rolemodifier			NULL		10000	NULL	NULL	329
Autopsy Assistant	2267	assignedrole		Autopsy Assistant	353	assistant-autopsy	1	NULL	NULL	29
Autotransfusionist	2269	assignedrole		Autotransfusionist	627	autotransfusionist	1	NULL	NULL	32
Auxiliary	2270	rolemodifier			NULL		10000	NULL	NULL	3786
Aviation	2272	rolemodifier			NULL		10000	NULL	NULL	42649
Aviation Electrician	2273	assignedrole		Avionics Technician	9697	technician-avionic	5	NULL	NULL	38
Aviation Electronic	2274	rolemodifier			NULL		10000	NULL	NULL	7
Aviation Electronics	2276	rolemodifier			NULL		10000	NULL	NULL	10
Aviation Electronics Technician	2278	assignedrole		Avionics Technician	9697	technician-avionic	6	NULL	NULL	20
Aviation Engineer	2279	assignedrole		Aviation Engineer	2821	engineer-aviation	1	NULL	NULL	142
Aviation Jobs	2280	assignedrole			3943	jobs-aviation	1	NULL	NULL	25755
Aviation Maintenance	2281	rolemodifier			NULL		10000	NULL	NULL	208
Aviation Maintenance Technician	2283	assignedrole		Aircraft Mechanic	6686	mechanic-aircraft	5	NULL	NULL	107
Aviation Manager	2284	assignedrole		Manager Aviation	5480	manager-aviation	2	NULL	NULL	7
Aviation Mechanic	2285	assignedrole		Aircraft Mechanic	6686	mechanic-aircraft	9	NULL	NULL	32
Aviation Operations	2286	rolemodifier			NULL		10000	NULL	NULL	487
Aviation Operations Jobs	2287	assignedrole			3944	jobs-aviationoperation	1	NULL	NULL	487
Aviation Operations Specialist	2288	assignedrole		Aviation Operations Specialist	8529	specialist-aviationoperation	1	NULL	NULL	824
Aviation Safety	2289	rolemodifier			NULL		10000	NULL	NULL	649
Aviation Safety Jobs	2290	assignedrole			3945	jobs-aviationsafety	1	NULL	NULL	235
Aviation Supervisor	2291	assignedrole		Manager Aviation	5480	manager-aviation	3	NULL	NULL	3
Aviation Survival	2292	rolemodifier			NULL		10000	NULL	NULL	10
Aviation Warfare Systems	2293	rolemodifier			NULL		10000	NULL	NULL	1
Aviator	2294	assignedrole		Aviator	628	aviator	1	NULL	NULL	135
Aviculturist	2295	assignedrole		Aviculturist	629	aviculturist	1	NULL	NULL	12
Avid Editor	2296	assignedrole		Writer	10358	writer	4	NULL	NULL	59
Avionics	2297	rolemodifier			NULL		10000	NULL	NULL	1706
Avionics Electrical	2298	rolemodifier			NULL		10000	NULL	NULL	30
Avionics Electrical Technician	2300	assignedrole		Avionics Technician	9697	technician-avionic	3	NULL	NULL	73
Avionics Electronic	2301	rolemodifier			NULL		10000	NULL	NULL	3
Avionics Electronics	2303	rolemodifier			NULL		10000	NULL	NULL	9
Avionics Electronics Technician	2305	assignedrole		Avionics Technician	9697	technician-avionic	8	NULL	NULL	7
Avionics Engineer	2306	assignedrole		Avionics Engineer	2822	engineer-avionic	1	NULL	NULL	169
Avionics Installer	2307	assignedrole		Avionics Technician	9697	technician-avionic	4	NULL	NULL	55
Avionics Jobs	2308	assignedrole			3946	jobs-avionic	1	NULL	NULL	7585
Avionics Manager	2309	assignedrole		Avionics Technician	9697	technician-avionic	7	NULL	NULL	14
Avionics Mechanic	2310	assignedrole		Aircraft Mechanic	6686	mechanic-aircraft	4	NULL	NULL	150
Avionics Supervisor	2311	assignedrole		Avionics Technician	9697	technician-avionic	9	NULL	NULL	3
Avionics Technician	2312	assignedrole		Avionics Technician	9697	technician-avionic	1	NULL	NULL	2849
AVP	2313	rolekeyword	Use VP. AVP has lower search volume.	Assistant VP	NULL		10000	NULL	NULL	135
Awake Overnight Monitor	2314	assignedrole		Awake Overnight Monitor	6781	monitor-awakenight	1	NULL	NULL	6
Awning	2315	rolemodifier			NULL		10000	NULL	NULL	149
Awning Hanger	2316	rolemodifier			3439	hanger	10000	NULL	NULL	3
Axle	2318	rolemodifier			NULL		10000	NULL	NULL	2310
Axman	2320	assignedrole		Axman	630	axman	1	NULL	NULL	36
B	2321	rolemodifier			NULL		10000	NULL	NULL	1921001
B2B	2322	rolemodifier			NULL		10000	NULL	NULL	80007
Babbitter	2323	rolekeyword			NULL		10000	NULL	NULL	3
Babbitters	2324	rolekeyword		Babbitter	NULL		10000	NULL	NULL	1
Baby	2325	rolemodifier			NULL		10000	NULL	NULL	82045
Baby Formula	2326	rolemodifier			NULL		10000	NULL	NULL	135
Baby Jobs	2327	assignedrole			3947	jobs-baby	1	NULL	NULL	15215
Baby Nurse	2328	assignedrole		Baby Nurse	7858	rn-baby	1	NULL	NULL	44
Baby Sitter	2329	assignedrole		Babysitter	631	babysitter	2	NULL	NULL	60
Babysitter	2330	assignedrole		Babysitter	631	babysitter	1	NULL	NULL	1152
Baccarat	2331	rolemodifier			NULL		10000	NULL	NULL	165
Back	2333	rolemodifier			NULL		10000	NULL	NULL	197340
Back Shoe	2335	rolemodifier			NULL		10000	NULL	NULL	3
Backbreaker	2336	assignedrole		Backbreaker	632	backbreaker	1	NULL	NULL	54
Backend Developer	2337	assignedrole		Backend Developer	1870	developer-backend	1	NULL	NULL	564
Backend Java Developer	2338	assignedrole		Backend Java Developer	1871	developer-backendjava	1	NULL	NULL	27
Backer	2339	assignedrole		Backer	633	backer	1	NULL	NULL	32
Background	2340	rolemodifier			NULL		10000	NULL	NULL	79616
Background Investigator	2341	assignedrole		Background Investigator	3812	investigator-background	1	NULL	NULL	2369
Background Jobs	2342	assignedrole			3948	jobs-background	1	NULL	NULL	1400
Backhoe	2343	rolemodifier			NULL		10000	NULL	NULL	894
Backroom	2345	rolemodifier			NULL		10000	NULL	NULL	133314
Backroom Associate	2346	assignedrole		Backroom Associate	1357	clerk-stock	1	NULL	NULL	14518
Backroom Jobs	2347	assignedrole			5017	jobs-stockroom	1	NULL	NULL	12955
Backtender	2348	rolekeyword			NULL		10000	NULL	NULL	9
Backtenders	2349	rolekeyword		Backtender	NULL		10000	NULL	NULL	1
Backup	2350	rolemodifier			NULL		10000	NULL	NULL	149056
Backup Administrator	2351	assignedrole		Backup Administrator	52	administrator-backup	1	NULL	NULL	96
Backup Engineer	2352	assignedrole		Backup Administrator	52	administrator-backup	2	NULL	NULL	41
Backwinder	2354	assignedrole		Backwinder	634	backwinder	1	NULL	NULL	3
Bacon	2355	rolemodifier			NULL		10000	NULL	NULL	1805
Bacteriologist	2357	assignedrole		Bacteriologist	635	bacteriologist	1	NULL	NULL	59
Bacteriology	2358	rolemodifier			NULL		10000	NULL	NULL	218
Baffle	2360	rolemodifier			NULL		10000	NULL	NULL	100
Bag	2361	rolemodifier			NULL		10000	NULL	NULL	135
Bag Machine	2363	rolemodifier			NULL		10000	NULL	NULL	6
Bagel	2364	rolemodifier			NULL		10000	NULL	NULL	910
Baggage	2366	rolemodifier			NULL		10000	NULL	NULL	4776
Baggage Handler	2367	assignedrole		Ramp Agent	129	agent-ramp	2	NULL	NULL	504
Baggageman	2368	rolekeyword			NULL		10000	NULL	NULL	3
Baggagemaster	2369	assignedrole		Baggagemaster	636	baggagemaster	1	NULL	NULL	3
Baggagemen	2370	rolekeyword			NULL		10000	NULL	NULL	1
Bagger	2371	rolekeyword			1131	clerk-courtesy	10000	NULL	NULL	12605
Baggers	2372	rolekeyword		Bagger	1131	clerk-courtesy	10000	NULL	NULL	120
Bagging Machine Operator	2373	assignedrole		Bagging Machine Operator	8530	specialist-baggingmachine	1	NULL	NULL	7
Bail	2374	rolemodifier			NULL		10000	NULL	NULL	269
Bail Bond	2375	rolemodifier			NULL		10000	NULL	NULL	66
Bailer	2378	assignedrole		Bailer	637	bailer	1	NULL	NULL	196
Bailiff	2379	assignedrole		Court Security Officer	6957	officer-courtsecurity	2	NULL	NULL	270
Bait	2380	rolemodifier			NULL		10000	NULL	NULL	673
Baker	2382	assignedrole		Baker	638	baker	1	NULL	NULL	135979
Baker Helper	2383	assignedrole		Baker Helper	641	bakerhelper	1	NULL	NULL	7
Bakery	2384	rolemodifier			NULL		10000	NULL	NULL	358132
Bakery Chef	2385	assignedrole		Baker	638	baker	5	NULL	NULL	13
Bakery Clerk	2386	assignedrole		Baker	638	baker	2	NULL	NULL	7297
Bakery Jobs	2387	assignedrole			3949	jobs-bakery	1	NULL	NULL	46066
Bakery Manager	2388	assignedrole		Bakery Manager	5483	manager-bakery	1	NULL	NULL	1146
Bakery Pastry Intern	2389	assignedrole		Bakery Pastry Internship	3668	intern-bakerypastry	2	NULL	NULL	1
Bakery Pastry Internship	2390	assignedrole		Bakery Pastry Internship	3668	intern-bakerypastry	1	NULL	NULL	3
Bakery Supervisor	2391	assignedrole		Bakery Manager	5483	manager-bakery	3	NULL	NULL	23
Balance	2392	rolemodifier			NULL		10000	NULL	NULL	13886
Balance Bridge	2393	rolemodifier			NULL		10000	NULL	NULL	5
Balance Clerk	2394	assignedrole		Accounting Clerk	1063	clerk-accounting	17	NULL	NULL	1
Balancer	2396	rolekeyword			NULL		10000	NULL	NULL	208
Balancers	2397	rolekeyword		Balancer	NULL		10000	NULL	NULL	21
Bale	2398	rolemodifier			NULL		10000	NULL	NULL	604
Baler	2400	assignedrole		Baler	642	baler	1	NULL	NULL	360
Baler Operator	2401	assignedrole		Baler Operator	642	baler	2	NULL	NULL	14
Baling Machine	2402	rolemodifier			NULL		10000	NULL	NULL	13
Ball	2403	rolemodifier			NULL		10000	NULL	NULL	2892
Ball Jobs	2404	assignedrole			3950	jobs-ball	1	NULL	NULL	110
Baller	2405	assignedrole		Baller	643	baller	1	NULL	NULL	122
Ballerina	2406	assignedrole		Ballerina	644	ballerina	1	NULL	NULL	182
Ballet	2407	rolemodifier			NULL		10000	NULL	NULL	445
Ballet Instructor	2408	assignedrole		Ballet Teacher	9432	teacher-ballet	2	NULL	NULL	12
Ballet Teacher	2410	assignedrole		Ballet Teacher	9432	teacher-ballet	1	NULL	NULL	13
Ballistic	2411	rolemodifier			NULL		10000	NULL	NULL	1819
Ballistician	2413	assignedrole		Ballistician	645	ballistician	1	NULL	NULL	10
Ballistics	2414	rolemodifier			NULL		10000	NULL	NULL	244
Ballman	2416	assignedrole		Ballman	646	ballman	1	NULL	NULL	12
Balloon	2417	rolemodifier			NULL		10000	NULL	NULL	805
Balloonist	2419	assignedrole		Balloonist	647	balloonist	1	NULL	NULL	16
Banana	2420	rolemodifier			NULL		10000	NULL	NULL	37371
Band	2422	rolemodifier			NULL		10000	NULL	NULL	2469
Band Director	2423	assignedrole		Band Director	1966	director-band	1	NULL	NULL	24
Band Instrument	2424	rolemodifier			NULL		10000	NULL	NULL	13
Band Jobs	2425	assignedrole			3951	jobs-band	1	NULL	NULL	143
Band Manager	2426	assignedrole		Band Manager	5485	manager-band	1	NULL	NULL	24
Band Saw	2427	rolemodifier			NULL		10000	NULL	NULL	745
Band Supervisor	2429	assignedrole		Band Manager	5485	manager-band	2	NULL	NULL	1
Band Teacher	2430	assignedrole		Band Teacher	9433	teacher-band	1	NULL	NULL	24
Bander	2431	assignedrole		Bander	648	bander	1	NULL	NULL	95
Bander Operator	2432	assignedrole		Bander Operator	648	bander	2	NULL	NULL	2
Bank	2433	rolemodifier			NULL		10000	NULL	NULL	427387
Bank Accountant	2434	assignedrole		Bank Accountant	5	accountant-bank	1	NULL	NULL	11
Bank Analyst	2435	assignedrole		Banking Analyst	158	analyst-banking	2	NULL	NULL	32
Bank Card	2436	rolemodifier			NULL		10000	NULL	NULL	108
Bank Cashier	2437	assignedrole		Bank Cashier	920	cashier-bank	1	NULL	NULL	17
Bank Compliance	2438	rolemodifier			NULL		10000	NULL	NULL	162
Bank Compliance Officer	2440	assignedrole		Bank Compliance Officer	6916	officer-bankcompliance	1	NULL	NULL	21
Bank Consultant	2441	assignedrole		Bank Consultant	1544	consultant-bank	1	NULL	NULL	21
Bank Examiner	2442	assignedrole		Bank Examiner	3106	examiner-bank	1	NULL	NULL	269
Bank Jobs	2443	assignedrole			3952	jobs-banking	2	NULL	NULL	51679
Bank Manager	2444	assignedrole		Banking Center Manager	5486	manager-banking	2	NULL	NULL	870
Bank Officer	2445	assignedrole		Loan Officer	6980	officer-loan	11	NULL	NULL	26
Bank President	2446	assignedrole		Bank President	7382	president-bank	1	NULL	NULL	38
Bank Supervisor	2447	assignedrole		Banking Center Manager	5486	manager-banking	5	NULL	NULL	82
Bank Teller	2448	assignedrole		Bank Teller	9934	teller	2	NULL	NULL	2719
Bank Vault	2449	rolemodifier			NULL		10000	NULL	NULL	40
Bank Vault Jobs	2450	assignedrole			5120	jobs-vault	2	NULL	NULL	3
Banker	2451	rolekeyword			NULL		10000	NULL	NULL	342648
Banker Mason	2452	assignedrole		Banker Mason	652	bankermason	1	NULL	NULL	7
Bankers	2453	rolekeyword		Banker	NULL		10000	NULL	NULL	108
Banking	2454	rolemodifier			NULL		10000	NULL	NULL	307765
Banking Analyst	2455	assignedrole		Banking Analyst	158	analyst-banking	1	NULL	NULL	411
Banking Center	2456	rolemodifier			NULL		10000	NULL	NULL	8395
Banking Center Jobs	2457	assignedrole			3952	jobs-banking	3	NULL	NULL	2919
Banking Center Manager	2458	assignedrole		Banking Center Manager	5486	manager-banking	1	NULL	NULL	1185
Banking Center Supervisor	2459	assignedrole		Banking Center Manager	5486	manager-banking	10	NULL	NULL	1
Banking Director	2460	assignedrole		Director Banking	1967	director-bank	2	NULL	NULL	10
Banking Jobs	2461	assignedrole			3952	jobs-banking	1	NULL	NULL	185606
Banking Manager	2462	assignedrole		Banking Center Manager	5486	manager-banking	4	NULL	NULL	110
Banking Officer	2463	assignedrole		Loan Officer	6980	officer-loan	3	NULL	NULL	814
Banking Services	2464	rolemodifier			NULL		10000	NULL	NULL	257
Banking Services Jobs	2465	assignedrole			3952	jobs-banking	4	NULL	NULL	43
Banking Supervisor	2466	assignedrole		Banking Center Manager	5486	manager-banking	9	NULL	NULL	3
Bankman	2467	assignedrole		Bankman	653	bankman	1	NULL	NULL	6
Banquet	2468	rolemodifier			NULL		10000	NULL	NULL	37268
Banquet Captain	2469	assignedrole		Banquet Manager	5487	manager-banquet	2	NULL	NULL	581
Banquet Chef	2470	assignedrole		Banquet Cook	974	chef-banquet	2	NULL	NULL	191
Banquet Cook	2471	assignedrole		Banquet Cook	974	chef-banquet	1	NULL	NULL	278
Banquet Jobs	2472	assignedrole			3953	jobs-banquet	1	NULL	NULL	8538
Banquet Manager	2473	assignedrole		Banquet Manager	5487	manager-banquet	1	NULL	NULL	625
Banquet Pilot	2474	assignedrole		Banquet Pilot	7273	pilot-banquet	1	NULL	NULL	1
Banquet Server	2475	assignedrole		Waiter Waitress	10239	waitstaff	2	NULL	NULL	5129
Banquet Supervisor	2476	assignedrole		Banquet Manager	5487	manager-banquet	3	NULL	NULL	41
Bar	2477	rolemodifier			NULL		10000	NULL	NULL	332
Bar Back	2478	assignedrole		Food Service Worker	10328	worker-foodservice	9	NULL	NULL	1131
Bar Captain	2479	assignedrole		Bar Captain	886	captain-bar	1	NULL	NULL	7
Bar Host	2480	assignedrole		Host Hostess	3501	host	14	NULL	NULL	5
Bar Hostess	2481	assignedrole		Host Hostess	3501	host	13	NULL	NULL	6
Bar Manager	2483	assignedrole		Bar Manager	5488	manager-bar	1	NULL	NULL	792
Bar Supervisor	2484	assignedrole		Bar Manager	5488	manager-bar	2	NULL	NULL	20
Barback	2485	assignedrole		Food Service Worker	10328	worker-foodservice	5	NULL	NULL	4116
Barber	2486	assignedrole		Barber	654	barber	1	NULL	NULL	2980
Barber Shop	2487	rolemodifier			NULL		10000	NULL	NULL	1327
Barber Stylist	2489	assignedrole		Barber Stylist	654	barber	2	NULL	NULL	10
Barbering	2490	rolemodifier			NULL		10000	NULL	NULL	72
Barge	2492	rolemodifier			NULL		10000	NULL	NULL	1217
Barge Captain	2493	assignedrole		Boat Captain	7274	pilot-boat	17	NULL	NULL	5
Barge Mate	2495	assignedrole		Deckhand	8278	seaman	29	NULL	NULL	2
Bargeman	2496	assignedrole		Bargeman	655	bargeman	1	NULL	NULL	12
Bariatric	2497	rolemodifier			NULL		10000	NULL	NULL	9149
Bariatric Nurse	2499	assignedrole		Bariatric Nurse	7859	rn-bariatric	1	NULL	NULL	36
Bariatric Surgeon	2500	assignedrole		Bariatric Surgeon	9357	surgeon-bariatric	1	NULL	NULL	22
Bariatrics	2501	rolemodifier	Try Bariatric.	Bariatric	NULL		10000	NULL	NULL	862
Barista	2503	assignedrole		Barista	656	barista	1	NULL	NULL	781824
Baritone	2504	assignedrole		Baritone	657	baritone	1	NULL	NULL	149
Bark	2505	rolemodifier			NULL		10000	NULL	NULL	122
Barkeep	2507	assignedrole		Bartender	662	bartender	6	NULL	NULL	32
Barkeeper	2508	assignedrole		Bartender	662	bartender	7	NULL	NULL	22
Barker	2509	assignedrole		Barker	658	barker	1	NULL	NULL	269
Barmaid	2510	assignedrole		Bartender	662	bartender	5	NULL	NULL	40
Barman	2511	assignedrole		Bartender	662	bartender	4	NULL	NULL	49
Barn	2512	rolemodifier			NULL		10000	NULL	NULL	1811
Barn Jobs	2513	assignedrole			3954	jobs-barn	1	NULL	NULL	79
Barn Manager	2514	assignedrole		Barn Manager	5489	manager-barn	1	NULL	NULL	19
Barn Supervisor	2515	assignedrole		Barn Manager	5489	manager-barn	2	NULL	NULL	1
Barrel	2516	rolemodifier			NULL		10000	NULL	NULL	1811
Barrer	2518	assignedrole		Barrer	659	barrer	1	NULL	NULL	32
Barrister	2519	assignedrole		Barrister	660	barrister	1	NULL	NULL	149
Bartacker	2520	assignedrole		Bartacker	661	bartacker	1	NULL	NULL	3
Bartender	2521	assignedrole		Bartender	662	bartender	1	NULL	NULL	495960
Bartender Helper	2522	assignedrole		Food Service Worker	10328	worker-foodservice	65	NULL	NULL	7
Bartender Server	2523	assignedrole		Bartender Server	663	bartenderserver	1	NULL	NULL	41
Bartenders	2524	assignedrole		Bartender	662	bartender	3	NULL	NULL	83
Base	2525	rolemodifier			NULL		10000	NULL	NULL	181550
Base Jobs	2526	assignedrole			3955	jobs-base	1	NULL	NULL	7775
Base Manager	2527	assignedrole		Base Manager	5490	manager-base	1	NULL	NULL	10
Base Supervisor	2528	assignedrole		Base Manager	5490	manager-base	2	NULL	NULL	3
Baseball	2529	rolemodifier			NULL		10000	NULL	NULL	12070
Baseball Coach	2530	assignedrole		Baseball Coach	1450	coach-baseball	1	NULL	NULL	221
Baseball Glove	2531	rolemodifier			NULL		10000	NULL	NULL	81
